City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,kuanda,56.3161,116.0806,2.0,74,80,0.74,RU,1715194851
138,serdar,38.9764,56.2757,21.23,47,0,6.17,TM,1715194852
139,hithadhoo,-0.6,73.0833,27.97,80,100,6.5,MV,1715194852
140,hermanus,-34.4187,19.2345,10.45,78,0,2.41,ZA,1715194852
141,wynyard,-41.0,145.7167,11.75,82,53,3.34,AU,1715194852
142,sawakin,19.1059,37.3321,26.86,59,0,3.12,SD,1715194852
143,praia da vitoria,38.7333,-27.0667,20.14,68,20,5.23,PT,1715194852
144,smithers,54.7804,-127.1743,10.18,53,75,4.12,CA,1715194852
145,brak,27.5496,14.2714,31.43,13,0,2.26,LY,1715194850
146,charters towers,-20.1,146.2667,17.18,90,86,3.64,AU,1715194852
147,acarau,-2.8856,-40.12,28.46,81,88,4.29,BR,1715194853
148,greymouth,-42.4667,171.2,4.55,71,1,5.07,NZ,1715194853
149,cox's bazar,21.4532,91.9798,25.16,79,93,1.94,BD,1715194853
150,shihezi,44.3,86.0333,20.58,56,86,3.23,CN,1715194853
151,tura,25.5198,90.2201,20.87,64,0,1.69,IN,1715194853
152,ilulissat,69.2167,-51.1,-1.99,74,75,3.6,GL,1715194853
153,fisterra,42.9049,-9.2629,15.66,82,13,4.98,ES,1715194853
154,vila franca do campo,37.7167,-25.4333,18.27,99,49,4.58,PT,1715194853
155,puerto baquerizo moreno,-0.9,-89.6,28.55,65,40,8.75,EC,1715194854
156,boyolangu,-8.1181,111.8935,23.93,96,72,1.4,ID,1715194854
157,enewetak,11.3474,162.3373,27.55,71,99,9.13,MH,1715194854
158,sao raimundo das mangabeiras,-7.0219,-45.4811,32.47,46,100,4.1,BR,1715194854
159,talnakh,69.4865,88.3972,-11.0,79,98,1.88,RU,1715194854
160,mount pearl,47.5166,-52.7813,6.09,91,100,8.23,CA,1715194792
161,acapulco de juarez,16.8634,-99.8901,27.08,62,99,4.48,MX,1715194801
162,igrim,63.1906,64.4162,1.09,93,100,6.51,RU,1715194854
163,colonia,50.9333,6.95,16.65,70,0,5.14,DE,1715194692
164,isafjordur,66.0755,-23.124,2.05,74,4,4.64,IS,1715194855
165,thames,-37.1333,175.5333,4.83,84,0,2.51,NZ,1715194855
166,kerikeri,-35.2268,173.9474,10.51,83,5,3.58,NZ,1715194855
167,san luis de la loma,17.2706,-100.8939,30.41,50,13,4.09,MX,1715194855
168,alaghsas,17.0187,8.0168,40.94,6,84,4.63,NE,1715194855
169,klaksvik,62.2266,-6.589,10.51,99,100,4.27,FO,1715194855
170,tannum sands,-23.9504,151.3693,19.94,77,40,4.12,AU,1715194855
171,bandarbeyla,9.4942,50.8122,28.96,80,0,5.38,SO,1715194855
172,kristiansund,63.1115,7.732,10.03,66,75,1.03,NO,1715194855
173,lyskovo,56.0328,45.0422,-1.39,94,94,1.73,RU,1715194856
174,weno,7.4515,151.8468,28.55,80,100,7.67,FM,1715194856
175,nagqu,31.5,92.0,1.68,57,86,5.68,CN,1715194856
176,meadow lakes,61.6247,-149.6011,10.14,51,0,2.06,US,1715194856
177,neiafu,-18.65,-173.9833,23.38,94,100,0.0,TO,1715194856
178,eaglehawk,-36.7333,144.25,12.05,67,14,2.41,AU,1715194856
179,kingston,17.997,-76.7936,30.53,74,40,8.23,JM,1715194272
180,qamdo,31.1667,97.2333,5.93,55,100,1.67,CN,1715194856
181,sol'-iletsk,51.1631,54.9918,9.06,89,100,9.23,RU,1715194857
182,behompy,-23.2496,43.8557,21.03,75,0,1.8,MG,1715194857
183,mogadishu,2.0371,45.3438,27.91,83,88,6.64,SO,1715194857
184,longyearbyen,78.2186,15.6401,0.91,60,20,3.6,SJ,1715194824
185,nikolayevsk-on-amure,53.1406,140.73,1.79,72,100,1.79,RU,1715194857
186,bikenibeu village,1.3673,173.1241,27.98,83,40,3.6,KI,1715194857
187,brisas de zicatela,15.8369,-97.0419,29.97,61,100,5.44,MX,1715194857
188,vilyuchinsk,52.9306,158.4028,2.15,82,100,3.16,RU,1715194857
189,beira,-19.8436,34.8389,24.05,83,20,2.68,MZ,1715194857
190,gadzhiyevo,69.2551,33.3362,-2.73,78,97,1.94,RU,1715194857
191,karmaskaly,54.3709,56.1837,4.95,90,100,6.65,RU,1715194858
192,howrah,22.5892,88.3103,27.0,83,40,2.06,IN,1715194847
193,saipan,15.1355,145.701,27.76,78,89,6.16,MP,1715194858
194,pisco,-13.7,-76.2167,21.12,83,75,5.14,PE,1715194858
195,ancud,-41.8697,-73.8203,10.09,82,100,7.23,CL,1715194858
196,luderitz,-26.6481,15.1594,17.1,70,0,6.66,NA,1715194858
197,nguigmi,14.2495,13.1092,32.52,21,14,1.38,NE,1715194858
198,queenstown,-31.8976,26.8753,13.59,81,4,2.17,ZA,1715194858
199,afaahiti,-17.75,-149.2833,27.93,85,100,6.75,PF,1715194859
200,saldanha,-33.0117,17.9442,13.03,78,0,5.03,ZA,1715194859
201,tual,-5.6667,132.75,27.97,77,87,6.22,ID,1715194859
202,vilyuysk,63.7553,121.6247,-3.89,95,100,4.02,RU,1715194859
203,mana,5.6592,-53.7767,29.16,68,100,5.04,GF,1715194859
204,lice,38.4592,40.6475,11.13,68,0,1.47,TR,1715194859
205,sao vicente,-23.9631,-46.3919,34.59,32,0,3.09,BR,1715194859
206,port saint john's,-31.6229,29.5448,21.94,76,69,1.8,ZA,1715194859
207,nova vicosa,-17.8919,-39.3719,28.0,69,2,3.43,BR,1715194833
208,uturoa,-16.7333,-151.4333,27.51,78,74,6.93,PF,1715194860
209,waingapu,-9.6567,120.2641,24.45,85,2,3.89,ID,1715194860
